"","chain","pct_correct","num_changes","Size","exp"
"382",82,0.717,9,10000,"2"
"383",83,0.013,4,10000,"2"
"384",84,0.973,6,10000,"2"
"385",85,0.436,4,10000,"2"
"386",86,0.194,6,10000,"2"
"387",87,0,4,10000,"2"
"388",88,0,4,10000,"2"
"389",89,0.999,1,10000,"2"
"390",90,0.057,4,10000,"2"
"391",91,0.629,12,10000,"2"
"392",92,0.743,45,10000,"2"
"393",93,0.773,7,10000,"2"
"394",94,0.996,5,10000,"2"
"395",95,0.974,7,10000,"2"
"396",96,0.006,3,10000,"2"
"397",97,0.051,9,10000,"2"
"398",98,0.978,16,10000,"2"
"399",99,0.208,3,10000,"2"
"400",100,0.837,5,10000,"2"
