"n","nchain","run","exp","rmse","cov"
1e+05,10,25,1,0.0999885991764847,0.957
1e+05,20,25,1,0.100501493278115,0.962
20000,1,25,1,0.117352693667818,0.893
20000,10,25,1,0.11452917642044,0.94
20000,20,25,1,0.116363127484153,0.951
50000,1,25,1,0.103596562613586,0.88
50000,10,25,1,0.0965767803738514,0.971
50000,20,25,1,0.0922161240247537,0.974
1000,1,26,1,0.210559341826828,0.911
1000,10,26,1,0.201739003736549,0.922
1000,20,26,1,0.201463265426294,0.92
10000,1,26,1,0.134601161081253,0.905
10000,10,26,1,0.129106160476126,0.949
10000,20,26,1,0.13158698482848,0.958
1e+05,1,26,1,0.0981521223500497,0.885
1e+05,10,26,1,0.0964731158032581,0.949
1e+05,20,26,1,0.0967075889145789,0.948
20000,1,26,1,0.117477695456914,0.92
20000,10,26,1,0.11757969583322,0.957
20000,20,26,1,0.117981597482055,0.964
50000,1,26,1,0.0904559052266895,0.917
50000,10,26,1,0.090871317079996,0.954
50000,20,26,1,0.0904382306153026,0.966
1000,1,27,1,0.201260726944093,0.931
1000,10,27,1,0.201413065996152,0.936
1000,20,27,1,0.198746756896853,0.943
10000,1,27,1,0.112388351027178,0.937
10000,10,27,1,0.112773646743998,0.962
10000,20,27,1,0.112505302986665,0.962
1e+05,1,27,1,0.0870905667277658,0.919
1e+05,10,27,1,0.0804575337757957,0.972
1e+05,20,27,1,0.0795251195514009,0.979
20000,1,27,1,0.122742178225413,0.888
20000,10,27,1,0.112173285026227,0.976
20000,20,27,1,0.113216612258622,0.978
50000,1,27,1,0.0745479745938699,0.905
50000,10,27,1,0.0668246500165433,0.98
50000,20,27,1,0.0659738067476872,0.984
1000,1,28,1,0.180493238175326,0.942
1000,10,28,1,0.183970479998697,0.947
1000,20,28,1,0.184297927507693,0.947
10000,1,28,1,0.111809436390383,0.888
10000,10,28,1,0.106407296989525,0.953
10000,20,28,1,0.10462828111839,0.963
1e+05,1,28,1,0.0647203802106286,0.911
1e+05,10,28,1,0.0659829553745883,0.973
1e+05,20,28,1,0.0672328302844675,0.984
20000,1,28,1,0.126917018473248,0.904
20000,10,28,1,0.108941900485215,0.952
20000,20,28,1,0.110671209979763,0.954
50000,1,28,1,0.102058440236869,0.87
50000,10,28,1,0.098950622007654,0.949
50000,20,28,1,0.0967900113906893,0.959
1000,1,29,1,0.203745796720524,0.934
1000,10,29,1,0.202225014665963,0.932
1000,20,29,1,0.201950715855641,0.936
10000,1,29,1,0.123302129488037,0.888
10000,10,29,1,0.125465204364916,0.945
10000,20,29,1,0.12762910340278,0.953
1e+05,1,29,1,0.0996674250888289,0.888
1e+05,10,29,1,0.08789052689415,0.954
1e+05,20,29,1,0.0870807819388084,0.961
20000,1,29,1,0.102900091128809,0.921
20000,10,29,1,0.108603854337789,0.955
20000,20,29,1,0.108807814046298,0.957
50000,1,29,1,0.115100943692422,0.881
50000,10,29,1,0.109495659364674,0.951
50000,20,29,1,0.107756344245503,0.96
1000,1,3,1,0.22214577088213,0.925
1000,10,3,1,0.217384193316498,0.94
1000,20,3,1,0.217105145793184,0.941
10000,1,3,1,0.105078005584377,0.899
10000,10,3,1,0.106193081923242,0.954
10000,20,3,1,0.103037500890326,0.963
1e+05,1,3,1,0.0750236089824219,0.905
1e+05,10,3,1,0.064020882334299,0.972
1e+05,20,3,1,0.0640996025856991,0.979
20000,1,3,1,0.107030596028947,0.915
20000,10,3,1,0.101808655398587,0.962
20000,20,3,1,0.102062234318315,0.972
50000,1,3,1,0.0857626676816822,0.915
50000,10,3,1,0.083708359569806,0.967
50000,20,3,1,0.0818890750748865,0.97
1000,1,30,1,0.211637043739912,0.903
1000,10,30,1,0.210917850832666,0.906
1000,20,30,1,0.213000024328302,0.905
10000,1,30,1,0.122495284310468,0.893
10000,10,30,1,0.115147257620806,0.949
10000,20,30,1,0.114719322149978,0.951
1e+05,1,30,1,0.109159094608747,0.86
1e+05,10,30,1,0.111485980246816,0.949
1e+05,20,30,1,0.111611576824417,0.954
20000,1,30,1,0.123588806982364,0.921
20000,10,30,1,0.118180156409449,0.948
20000,20,30,1,0.11767082759826,0.95
50000,1,30,1,0.0946896433678227,0.905
50000,10,30,1,0.0883989776315107,0.97
50000,20,30,1,0.0893521424449525,0.974
1000,1,31,1,0.202789054985283,0.935
1000,10,31,1,0.202581989336981,0.938
1000,20,31,1,0.203160225750065,0.938
10000,1,31,1,0.099277050561116,0.931
10000,10,31,1,0.0988662558288671,0.959
10000,20,31,1,0.100820367456895,0.964
1e+05,1,31,1,0.0797497957870908,0.917
1e+05,10,31,1,0.0761426314758157,0.972
1e+05,20,31,1,0.0744447828955504,0.978
20000,1,31,1,0.0794731172556106,0.923
20000,10,31,1,0.0726238431336883,0.975
20000,20,31,1,0.0739130257041807,0.978
50000,1,31,1,0.101867853880717,0.865
50000,10,31,1,0.0970057358072536,0.947
