"","n","nchain","run","exp","rmse","cov"
"278",10000,1,22,1,0.479446557620903,0.953
"279",10000,2,22,1,0.482081770207439,0.96
"280",10000,5,22,1,0.481206249784273,0.966
"281",1e+05,1,22,1,0.287591576472584,0.938
"282",1e+05,2,22,1,0.304958508487958,0.943
"283",1e+05,5,22,1,0.291289593151516,0.955
"284",20000,1,22,1,0.394837076824429,0.941
"285",20000,2,22,1,0.381060344372604,0.941
"286",20000,5,22,1,0.386209572645985,0.944
"287",50000,1,22,1,0.33248357978463,0.927
"288",50000,2,22,1,0.329424633273727,0.941
"289",50000,5,22,1,0.324812761770092,0.948
"290",100,1,23,1,1.2833325256103,0.974
"291",100,2,23,1,1.25420621052612,0.98
"292",100,5,23,1,1.25927118283952,0.977
"293",1000,1,23,1,0.821361229308603,0.98
"294",1000,2,23,1,0.826889458965201,0.986
"295",1000,5,23,1,0.812338301227179,0.985
"296",10000,1,23,1,0.416906414759003,0.964
"297",10000,2,23,1,0.442880646198738,0.962
"298",10000,5,23,1,0.418089795207137,0.978
"299",1e+05,1,23,1,0.363108373202673,0.899
"300",1e+05,2,23,1,0.34968717671351,0.939
"301",1e+05,5,23,1,0.346947755451713,0.931
"302",20000,1,23,1,0.294997776152964,0.959
"303",20000,2,23,1,0.305493318451513,0.968
"304",20000,5,23,1,0.299565397723434,0.97
"305",50000,1,23,1,0.248751319230047,0.966
"306",50000,2,23,1,0.257974899241621,0.961
"307",50000,5,23,1,0.245109065984341,0.965
"308",100,1,24,1,1.20279736814154,0.986
"309",100,2,24,1,1.21519348350965,0.988
"310",100,5,24,1,1.21878644256016,0.985
"311",1000,1,24,1,0.804322116174828,0.982
"312",1000,2,24,1,0.797951936410675,0.982
"313",1000,5,24,1,0.79853186602914,0.981
"314",10000,1,24,1,0.354513602698519,0.977
"315",10000,2,24,1,0.354830029171802,0.976
"316",10000,5,24,1,0.3224394469098,0.991
"317",1e+05,1,24,1,0.211239582557538,0.902
"318",1e+05,2,24,1,0.209437980981295,0.946
"319",1e+05,5,24,1,0.196019905824585,0.955
"320",20000,1,24,1,0.289276190190522,0.976
"321",20000,2,24,1,0.302854238811133,0.974
"322",20000,5,24,1,0.284056394385078,0.989
"323",50000,1,24,1,0.286634836076584,0.925
"324",50000,2,24,1,0.27820912864246,0.943
"325",50000,5,24,1,0.276190457808077,0.956
"326",100,1,25,1,1.36208109745502,0.975
"327",100,2,25,1,1.37701182817726,0.973
"328",100,5,25,1,1.34736875338424,0.974
"329",1000,1,25,1,0.803632673855873,0.981
"330",1000,2,25,1,0.849626716386376,0.976
"331",1000,5,25,1,0.795690642846512,0.985
"332",10000,1,25,1,0.438043709729456,0.933
"333",10000,2,25,1,0.434931988177198,0.92
"334",10000,5,25,1,0.425540065837723,0.936
"335",1e+05,1,25,1,0.385895964190442,0.865
"336",1e+05,2,25,1,0.384645919311298,0.91
"337",1e+05,5,25,1,0.380128453748381,0.924
"338",20000,1,25,1,0.351249643272863,0.956
"339",20000,2,25,1,0.337536920155742,0.964
"340",20000,5,25,1,0.338213681340826,0.972
"341",50000,1,25,1,0.333155369920178,0.924
"342",50000,2,25,1,0.328518478504377,0.938
"343",50000,5,25,1,0.327363530031694,0.939
"344",100,1,26,1,1.11677914754705,0.999
"345",100,2,26,1,1.12788231943179,0.999
"346",100,5,26,1,1.11122842755147,0.998
"347",1000,1,26,1,0.825759865091925,0.977
"348",1000,2,26,1,0.831280375482283,0.977
"349",1000,5,26,1,0.83116932915779,0.978
"350",10000,1,26,1,0.409925396636434,0.967
"351",10000,2,26,1,0.394989141172654,0.973
"352",10000,5,26,1,0.375894778131786,0.984
"353",1e+05,1,26,1,0.3077397848354,0.898
"354",1e+05,2,26,1,0.306465721351015,0.924
"355",1e+05,5,26,1,0.303494923816571,0.934
"356",20000,1,26,1,0.450495433234758,0.896
"357",20000,2,26,1,0.441617055313185,0.906
"358",20000,5,26,1,0.428379939541645,0.931
"359",50000,1,26,1,0.350778785601665,0.92
"360",50000,2,26,1,0.350498960457056,0.93
"361",50000,5,26,1,0.351509997208556,0.936
"362",100,1,27,1,1.06060773380842,0.998
"363",100,2,27,1,1.08142641250819,0.997
"364",100,5,27,1,1.07413021420227,0.997
"365",1000,1,27,1,0.874096553203688,0.956
"366",1000,2,27,1,0.863791883766473,0.959
"367",1000,5,27,1,0.842534408246902,0.968
"368",10000,1,27,1,0.368013241998888,0.967
"369",10000,2,27,1,0.37635191907372,0.973
"370",10000,5,27,1,0.373267640580468,0.976
"371",1e+05,1,27,1,0.307670427575462,0.868
"372",1e+05,2,27,1,0.308435993596137,0.877
"373",1e+05,5,27,1,0.306054441574729,0.914
"374",20000,1,27,1,0.382942009508262,0.936
"375",20000,2,27,1,0.366428203402764,0.955
"376",20000,5,27,1,0.360450728230962,0.964
"377",50000,1,27,1,0.375269278467932,0.926
"378",50000,2,27,1,0.370972051956086,0.937
"379",50000,5,27,1,0.371769694925804,0.945
"380",100,1,28,1,1.47905186496347,0.973
"381",100,2,28,1,1.4929854046782,0.972
"382",100,5,28,1,1.49010263153459,0.97
"383",1000,1,28,1,0.86810434797602,0.981
"384",1000,2,28,1,0.899642706432029,0.962
"385",1000,5,28,1,0.885581096635042,0.967
"386",10000,1,28,1,0.391853448568724,0.966
"387",10000,2,28,1,0.397565976797113,0.966
"388",10000,5,28,1,0.398906881205111,0.969
"389",1e+05,1,28,1,0.32224279070043,0.899
"390",1e+05,2,28,1,0.319914023644419,0.911
"391",1e+05,5,28,1,0.307334632824193,0.94
"392",20000,1,28,1,0.300209471337065,0.968
"393",20000,2,28,1,0.312417978787141,0.968
"394",20000,5,28,1,0.3081367611664,0.974
"395",50000,1,28,1,0.359205012267695,0.9
"396",50000,2,28,1,0.345241665929782,0.931
"397",50000,5,28,1,0.337368679882867,0.939
"398",100,1,29,1,1.48664569177451,0.966
"399",100,2,29,1,1.4825579280447,0.967
"400",100,5,29,1,1.48956328661911,0.972
"401",1000,1,29,1,0.82494014064733,0.97
"402",1000,2,29,1,0.821740254407226,0.971
"403",1000,5,29,1,0.835973383215369,0.973
"404",10000,1,29,1,0.48626162718117,0.93
"405",10000,2,29,1,0.479296449322662,0.942
"406",10000,5,29,1,0.453724654816164,0.953
"407",1e+05,1,29,1,0.339665602653601,0.903
"408",1e+05,2,29,1,0.328102863963677,0.92
"409",1e+05,5,29,1,0.324279799287697,0.924
"410",20000,1,29,1,0.337493254519475,0.948
"411",20000,2,29,1,0.331330490697695,0.964
"412",20000,5,29,1,0.33076241235049,0.966
"413",50000,1,29,1,0.322410425884343,0.925
"414",50000,2,29,1,0.335880510572499,0.912
"415",50000,5,29,1,0.32599704520436,0.928
"416",100,1,3,1,1.28675739590943,0.997
"417",100,2,3,1,1.27036613420233,0.996
"418",100,5,3,1,1.2493996073561,0.998
"419",1000,1,3,1,0.919316715859626,0.959
"420",1000,2,3,1,0.878317002157351,0.963
"421",1000,5,3,1,0.89949010155267,0.959
"422",10000,1,3,1,0.471113090885885,0.936
"423",10000,2,3,1,0.47886599756855,0.943
"424",10000,5,3,1,0.473135774930775,0.94
"425",1e+05,1,3,1,0.302796803408081,0.922
"426",1e+05,2,3,1,0.303513128246232,0.928
"427",1e+05,5,3,1,0.307768413376207,0.928
"428",20000,1,3,1,0.436499351341272,0.906
"429",20000,2,3,1,0.424508346611801,0.921
"430",20000,5,3,1,0.417034687493442,0.923
"431",50000,1,3,1,0.354222736894113,0.893
"432",50000,2,3,1,0.34849989737219,0.915
"433",50000,5,3,1,0.348913381912002,0.933
"434",100,1,30,1,1.37517840691244,0.975
"435",100,2,30,1,1.38932038161609,0.975
"436",100,5,30,1,1.38872350249479,0.977
"437",1000,1,30,1,1.00774397157578,0.961
"438",1000,2,30,1,0.979971223988873,0.964
"439",1000,5,30,1,0.974647507219636,0.968
"440",10000,1,30,1,0.417370471565331,0.966
"441",10000,2,30,1,0.379129801495307,0.976
"442",10000,5,30,1,0.377953424709698,0.982
"443",1e+05,1,30,1,0.367168309532795,0.869
"444",1e+05,2,30,1,0.357776798598907,0.896
"445",1e+05,5,30,1,0.346284464436697,0.926
"446",20000,1,30,1,0.336929102767176,0.953
"447",20000,2,30,1,0.340838026040811,0.965
"448",20000,5,30,1,0.327350409241878,0.971
"449",50000,1,30,1,0.369581219057344,0.91
"450",50000,2,30,1,0.365417681377049,0.931
"451",50000,5,30,1,0.356339823305319,0.948
"452",100,1,31,1,1.24745959730361,0.991
"453",100,2,31,1,1.25919217931945,0.99
"454",100,5,31,1,1.25770278487965,0.991
"455",1000,1,31,1,0.921612823104407,0.971
"456",1000,2,31,1,0.916532694060907,0.968
"457",1000,5,31,1,0.922178884831406,0.965
"458",10000,1,31,1,0.472464800284078,0.935
"459",10000,2,31,1,0.478010553287065,0.937
"460",10000,5,31,1,0.457888788804157,0.948
